iter	RMSE
943	3.140353658
944	3.139875881
945	3.139573203
946	3.139347599
947	3.138724212
948	3.138239254
949	3.137384439
950	3.137156167
951	3.136881468
952	3.136353993
953	3.136216168
954	3.135689907
955	3.135366185
956	3.13409398
957	3.133758706
958	3.133061214
959	3.132947339
960	3.132709151
961	3.13255351
962	3.132275946
963	3.131849161
964	3.130844481
965	3.130781242
966	3.130473173
967	3.130054465
968	3.129939821
969	3.129502785
970	3.129188183
971	3.12897577
972	3.128691385
973	3.128347151
974	3.128097783
975	3.127718031
976	3.127527755
977	3.127006324
978	3.126297331
979	3.126058371
980	3.125927919
981	3.12543126
982	3.125172567
983	3.124748496
984	3.124184787
985	3.123881425
986	3.123468348
987	3.122927651
988	3.122391283
989	3.122116124
990	3.121771948
991	3.121453764
992	3.121019426
993	3.120726647
994	3.1204173
995	3.120162345
996	3.119957301
997	3.119594087
998	3.119126958
999	3.118729788
